Time,Sqn
0,107
0.000025,
0.000047,3409
0.000055,3410
0.000635,
0.000662,3411
0.000776,3412
0.000785,3413
0.000792,3414
0.000801,3415
0.000808,3416
0.000817,3417
0.00083,3418
0.000838,3419
0.001998,
0.002178,3420
0.002249,
0.002387,3421
0.004226,
0.005332,
0.006398,
0.006481,
0.006577,3422
0.013464,
0.014494,
0.018485,
0.019363,
6.776089,
6.776103,
6.776149,
6.777764,
6.77791,
6.780063,
6.782743,
6.797988,
6.819424,
6.819471,
6.839657,
6.852496,
6.87029,
6.870317,3852
6.885427,
6.891736,
6.891762,3853
6.914556,
6.914582,3854
6.926617,
6.93596,
6.935996,3855
6.93659,
6.936697,3856
6.953326,
6.96138,
6.961405,3857
6.984855,
6.98505,
6.985139,3858
7.007253,
7.007278,3859
7.01941,
7.033189,
7.033216,3860
7.033235,
7.03331,3860
7.033332,
7.033582,3860
7.039939,
7.039964,3861
7.040004,
7.040094,3861
7.0403,
7.040357,3861
7.043665,
7.04369,3862
7.043743,
7.043877,3862
7.044053,
7.044139,3862
7.051741,
7.06532,
7.065347,3863
7.065448,
7.065467,3863
7.065648,
7.065714,3863
7.0777,
7.077729,3864
7.077768,
7.077896,3864
7.078014,
7.078144,3864
7.104099,
7.104123,3865
7.104136,
7.104196,3865
7.104472,
7.104496,3865
7.122652,
7.129257,
7.129283,3866
7.143708,
7.143732,3867
7.144059,
7.144083,3868
7.144266,
7.144289,3868
19.664125,
19.664153,552
19.668504,
19.66859,553
19.674396,
19.674497,554
19.676091,
19.694017,
19.694043,555
19.705157,
19.716178,
19.716204,556
19.736727,
19.736774,
19.737011,557
19.772257,
19.772283,558
19.772485,
19.77251,559
19.772727,560
19.783082,
19.783106,561
19.798687,
19.821088,
19.821115,562
19.831414,
19.831609,563
19.833472,
19.834343,
19.852666,
19.852692,564
19.858712,
19.858736,565
19.871294,
19.872954,
19.87298,566
19.873337,567
19.885468,
19.88549,568
19.897014,
19.897211,569
19.903052,
19.917326,
19.917329,
19.917334,570
19.930903,
19.933832,
19.939917,
19.93993,571
19.960567,
19.960593,572
19.960648,
19.960665,572
19.965896,
19.981209,
19.981234,573
19.99735,
20.002724,
20.00275,574
20.023715,
20.023743,575
20.031623,
20.032228,
20.044482,
20.044508,576
20.064208,
20.079713,
20.079739,577
20.097752,
20.100387,
20.100414,578
36.47131,
36.471336,1557
36.471372,
36.471538,1557
36.480948,
36.501261,
36.501287,1558
36.514806,
36.527772,
36.527798,1559
36.533072,
36.533096,1560
36.547874,
36.548457,
36.548483,1561
36.569254,
36.569279,1562
36.580887,
36.590938,
36.590966,1563
36.612059,
36.612085,1564
36.614183,
36.616534,
36.616561,1565
36.633284,
36.63331,1566
36.635693,
36.635717,1567
36.635784,
36.635852,1568
36.648252,
36.64905,
36.654213,
36.654236,1569
36.676203,
36.676229,1570
36.676243,
36.676259,1570
36.67631,
36.676521,1570
36.680868,
36.685686,
36.702154,
36.702182,1571
36.702248,
36.702266,1571
36.70248,
36.702563,1571
36.714661,
36.724311,
36.724336,1572
36.738231,
36.738256,1573
36.738263,1574
36.745075,
36.745101,1575
36.745154,
36.745172,1575
36.753266,
36.754163,
36.770955,
36.770975,1576
36.781137,
36.784427,
36.792628,
36.792659,1577
36.813351,
36.813378,1578
36.81339,
36.813407,1578
36.815928,
36.833799,
36.833825,1579
36.833839,
36.833896,
36.833914,1579
36.849236,
36.849813,
36.855555,
36.855579,1580
36.855815,
36.855838,1580
36.856029,
36.856114,1580
36.876673,
36.876698,1581
36.884287,
36.884764,
36.899325,
36.899352,1582
36.920695,
36.921037,
36.921062,1583
36.938042,
36.938067,1584
36.938563,
36.938587,1585
36.940093,
36.94012,1586
36.951604,
36.962233,
36.962259,1587
36.982641,
36.986203,
36.986231,1588
37.007847,
37.007884,1589
37.015518,
37.020611,
37.029042,
37.029063,1590
37.034789,
37.034814,1591
37.039226,
37.039251,1592
37.048813,
37.050729,
37.050755,1593
37.071408,
37.071434,1594
37.084426,
37.084728,
37.099514,
37.099544,1595
37.115565,
37.124138,
37.124163,1596
37.140266,
37.140291,1597
37.140412,
37.140596,1598
37.146964,
37.146991,1599
37.151971,
37.152582,
37.169181,
37.169208,1600
37.182292,
37.191202,
37.191228,1601
37.213318,
37.213508,1602
37.215479,
37.216954,
37.232604,
37.232629,1603
37.243923,
37.243949,1604
37.246134,
37.246159,1605
37.246222,
37.246289,1606
37.257865,
37.257907,
37.257926,1607
37.259294,
37.277288,
37.277314,1608
37.289669,
37.290777,
37.309763,
37.30979,1609
37.315584,
37.316676,
37.320726,
37.320751,1610
37.341206,
37.341232,1611
37.354103,
37.35577,
37.36408,
37.3641,1612
37.382818,
37.384206,
37.407134,
37.40716,1613
37.418181,
37.418201,1614
37.420374,
37.421556,
37.439062,
37.439088,1615
37.449688,
37.450851,
37.459649,
37.459675,1616
37.480343,
37.48037,1617
37.48437,
37.485427,
37.505657,
37.505682,1618
37.51635,
37.517051,
37.52722,
37.52725,1619
37.54406,
37.544085,1620
37.547913,
37.54794,1621
37.55807,
37.55943,
37.576576,
37.576604,1622
37.58309,
37.58395,
37.58449,
37.609781,
37.609807,1623
37.615448,
37.621836,
37.621861,1624
37.643681,
37.643918,1625
37.649921,
37.650496,
37.650573,
37.650789,1626
37.651385,
37.651409,1627
37.651457,1628
37.675904,
37.675929,1629
37.682292,
37.682595,
37.693352,
37.693377,1630
37.715278,
37.715288,
37.715352,1631
37.716857,
37.717541,
37.736299,
37.736326,1632
37.751512,
37.751537,1633
37.751858,
37.751881,1634
37.755443,
37.769233,
37.769258,1635
37.779564,
37.77959,1636
37.783188,
37.783762,
37.800284,
37.80031,1637
37.815168,133
37.975474,134
37.975497,
37.975517,1638
37.975525,1639
37.976492,
37.976501,
37.976623,1640
37.976631,1641
37.976638,1642
37.976645,1643
37.976652,1644
37.976658,1645
37.976665,1646
37.976672,1647
37.977368,
37.978566,
37.979958,
37.981273,
37.982651,
37.983833,
37.984494,
37.985788,
37.986292,
37.98641,1648
38.007049,
38.007068,1649
38.017042,
38.045485,
38.045512,1650
38.054374,
38.054467,1651
38.057246,
38.062022,
38.062047,1652
38.083269,
38.083847,
38.091052,
38.091077,1653
38.091587,
38.091613,1654
38.092495,
38.092521,1655
38.10782,
38.107846,1656
38.115547,
38.129738,
38.129763,1657
38.132265,
38.132291,1658
38.151471,
38.153558,
38.153583,1659
38.156301,
38.156415,1660
38.156424,1661
38.175576,
38.175601,1662
38.182891,
38.208925,
38.208952,1663
38.216189,
38.216564,
38.221494,
38.221519,1664
38.242203,
38.242229,1665
38.244789,
38.244813,1666
38.250171,
38.256424,
38.256449,1667
38.256457,1668
38.262908,
38.262935,1669
38.263626,
38.265247,
38.265271,1670
38.282787,
38.283985,
38.284942,
38.284968,1671
38.305724,
38.305749,1672
38.315832,
38.326737,
38.326763,1673
38.348477,
38.348503,1674
38.353433,
38.370049,
38.370075,1675
38.382052,
38.390599,
38.390625,1676
38.411404,
38.41143,1677
38.416825,
38.440659,
38.440684,1678
38.450972,
38.453448,
38.453472,1679
38.475063,
38.475089,1680
38.484228,
38.499543,
38.499576,1681
38.516892,
38.5223,
38.522325,1682
38.547055,
38.547081,1683
38.554806,
38.558927,
38.558977,
38.558996,1684
38.568074,
38.571144,
38.57117,1685
38.590741,
38.594515,
38.594545,1686
38.615021,
38.615047,1687
38.61753,
38.617555,1688
38.617609,
38.617705,1688
38.62112,
38.622489,
38.635825,
38.635851,1689
38.649814,
38.6501,
38.658604,
38.65863,1690
38.659993,
38.660017,1691
38.663372,
38.663397,1692
38.683162,
38.683698,
38.694915,
38.69494,1693
38.706759,
38.706785,1694
38.716825,
38.717675,
38.730601,
38.730627,1695
38.754047,
38.754959,
38.760515,
38.760535,1696
38.760595,
38.760612,1696
38.76342,
38.763439,1697
38.763668,
38.763693,1698
38.781792,
38.781818,1699
38.783701,
38.784619,
38.802291,
38.802317,1700
38.817405,
38.818026,
38.822694,
38.822721,1701
38.843971,
38.843997,1702
38.851683,
38.853884,
38.863817,
38.863924,1703
38.884189,
38.884883,
38.899269,
38.899297,1704
38.910223,
38.910249,1705
38.91707,
38.917637,
38.932478,
38.932504,1706
38.952655,
38.952856,1707
38.952876,
38.953012,1707
38.954979,
38.955263,
38.965184,
38.965209,1708
38.96523,
38.96529,1709
38.975888,
38.975954,1710
38.98713,
38.9887,
38.98898,
38.998142,
38.998168,1711
39.017446,
39.018121,
39.018136,
39.018197,1712
39.041256,
39.041282,1713
39.046775,
39.046801,1714
39.051699,
39.05238,
39.052934,
39.066079,
39.066104,1715
39.066309,
39.066332,1716
39.066526,
39.06655,1716
39.08399,
39.085237,
39.094516,
39.094543,1717
39.117016,
39.117867,
39.117891,1718
39.138562,
39.138606,1719
39.151791,
39.167915,
39.16794,1720
39.167995,
39.168013,1720
39.16824,
39.168304,1720
39.168313,1721
39.169017,
39.169043,1722
39.180632,
39.180656,1723
39.184653,
39.205992,
39.206018,1724
39.217116,
39.228712,
39.228738,1725
39.24911,
39.249312,1726
39.250634,
39.25404,
39.25454,
39.259296,
39.259321,1727
39.270431,
39.270532,1728
39.270604,
39.270764,1729
39.271363,
39.271387,1730
39.284331,
39.294797,
39.294824,1731
39.315635,
39.315661,1732
39.315674,
39.315732,1732
39.315929,
39.316018,1732
39.318062,
39.336549,
39.336576,1733
39.336641,
39.33666,1733
39.356098,
39.35868,
39.358705,1734
39.379173,
39.379198,1735
39.387419,
39.408383,
39.40841,1736
39.416967,
39.429393,
39.429418,1737
39.450119,
39.450145,1738
39.452169,
39.470608,
39.470632,1739
39.484703,
39.488131,
39.493554,
39.493661,1740
39.516377,
39.516403,1741
39.518291,
39.519129,
39.537295,
39.53732,1742
39.558775,
39.559099,
39.559147,
39.559324,1743
39.573239,
39.573264,1744
39.579815,
39.57984,1745
39.5988,
39.599938,
39.602023,
39.602086,1746
39.602285,
39.602372,1746
39.606168,
39.609334,
39.624058,
39.624445,
39.624585,1747
39.624696,
39.624772,1747
39.624877,
39.625006,1747
39.64556,
39.645586,1748
39.6456,
39.645617,1748
39.645732,
39.645934,1748
39.65859,
39.671336,
39.671361,1749
39.671374,
39.671391,1749
39.671429,
39.671661,1749
39.676689,
39.676907,1750
39.685515,
39.693288,
39.693313,1751
39.693327,
39.693344,1751
39.693381,
39.693602,1751
39.697174,
39.697202,1752
39.715207,
39.715233,1753
39.719036,
39.738123,
39.738148,1754
39.756585,
39.75661,1755
39.756623,
39.75664,1755
39.763138,
39.780738,
39.780763,1756
39.784155,
39.784923,
39.78564,
39.79518,
39.795201,1757
39.795209,1758
39.805996,
39.806022,1759
39.806138,
39.806324,1759
39.818147,
39.819132,
39.819828,
39.827623,
39.827629,1760
39.84834,
39.848356,1761
39.853258,
39.854033,
39.872367,
39.872393,1762
39.884917,
39.896915,
39.896941,1763
39.89696,
39.896977,1763
39.897053,
39.897251,1763
39.918106,
39.918717,
39.919089,
39.919114,1764
39.940313,
39.940338,1765
39.961785,
39.961793,
39.961864,1766
39.962772,
39.981372,
39.981398,1767
39.985176,
39.995545,
39.99557,1768
39.996353,
39.996377,1769
40.007072,
40.007097,1770
40.018217,
40.018555,
40.029447,
40.029472,1771
40.049934,
40.049959,1772
40.049972,
40.050033,1772
40.0501,
40.050294,1772
40.050518,
40.05053,
40.050578,
40.050774,1772
40.053008,
40.053639,
40.070387,
40.070412,1773
40.085896,
40.093113,
40.093139,1774
40.097204,
40.097229,1775
40.113565,
40.11359,1776
40.118436,
40.145673,
40.145698,1777
40.155294,
40.157899,
40.157926,1778
40.158013,
40.158031,1778
40.178599,
40.178624,1779
40.178881,
40.178905,1779
40.184889,
40.185452,
40.19945,
40.199475,1780
40.200935,
40.20096,1781
40.200969,1782
40.218382,
40.21898,
40.221577,
40.221603,1783
40.242295,
40.24232,1784
40.25187,
40.252874,
40.26432,
40.264346,1785
40.285071,
40.285097,1786
40.294193,
40.295666,
40.297015,
40.297109,1787
40.302135,
40.302159,1788
40.302614,
40.302638,1789
40.307682,
40.30774,1790
40.318188,
40.31935,
40.319742,
40.337241,
40.337266,1791
40.33728,
40.337297,1791
40.337415,
40.337599,1791
40.353005,
40.353736,
40.358223,
40.358248,1792
40.386367,
40.387261,
40.396032,
40.396058,1793
40.410992,
40.411094,1794
40.419267,
40.419761,
40.435126,
40.435151,1795
40.452306,
40.459002,
40.459058,
40.459077,1796
40.459295,
40.459475,
40.4595,1796
40.45964,
40.459813,
40.459862,1796
40.460079,
40.460128,1796
40.479684,
40.47971,1797
40.485482,
40.486126,
40.505595,
40.505622,1798
40.505641,
40.505699,1798
40.505874,
40.505938,1798
40.518938,
40.519657,
40.540196,
40.540221,1799
40.540301,
40.540361,1799
40.540556,
40.540642,1799
